pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.02,140.0,33111.106,23550.79,1042,821,221,78.791,46.054,1.323,966.517,4388,955.44,582.46,13298.65,1291.89,33111.11,148.98
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.005,140.0,2.628,-98.123,1042,497,545,47.697,98.229,0.772,-4.027,4388,55.86,-60.1,11.37,-79.64,2.63,-76.9
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.008,140.0,29.725,-78.768,1042,597,445,57.294,82.99,0.915,-3.233,4388,123.17,-12.02,54.46,-55.78,29.72,-45.42
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.01,140.0,90.999,-35.001,1042,632,410,60.653,70.442,0.981,-1.436,4388,198.7,41.93,148.59,-25.22,91.0,-38.76
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.015,140.0,1478.108,955.792,1042,682,360,65.451,67.784,1.062,39.225,4388,534.2,281.57,2301.38,330.81,1478.11,-35.77
SOL-USDT-SWAP,30m,4H,0.002,0.008,0.02,140.0,7811.18,5479.415,1042,703,339,67.466,69.347,1.109,224.873,4388,786.96,462.11,6105.36,675.82,7811.18,27.94
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.005,140.0,0.578,-99.587,1042,423,619,40.595,99.604,0.73,-4.087,4388,43.12,-69.2,3.45,-92.0,0.58,-83.24
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.008,140.0,7.41,-94.707,1042,518,524,49.712,96.012,0.876,-3.887,4388,102.71,-26.63,19.38,-81.14,7.41,-61.75
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.01,140.0,12.005,-91.425,1042,546,496,52.399,93.936,0.913,-3.752,4388,144.49,3.21,33.01,-77.15,12.0,-63.64
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.015,140.0,140.855,0.611,1042,592,450,56.814,83.471,1.0,0.025,4388,426.48,204.63,399.75,-6.27,140.86,-64.76
SOL-USDT-SWAP,30m,4H,0.002,0.01,0.02,140.0,1029.587,635.42,1042,614,428,58.925,77.821,1.046,26.077,4388,706.57,404.69,1276.41,80.65,1029.59,-19.34
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.005,140.0,0.017,-99.988,1042,330,712,31.67,99.989,0.614,-4.103,4388,13.51,-90.35,0.2,-98.51,0.02,-91.39
SOL-USDT-SWAP,30m,4H,0.002,0.015,0.008,140.0,0.13,-99.907,1042,416,626,39.923,99.921,0.735,-4.1,4388,31.86,-77.25,0.83,-97.38,0.13,-84.4
