pair,mode,signal_bar,float_pct,tp_pct,sl_pct,confirm,min_amp,max_amp,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,reversal,4H,0.002,0.02,0.03,1,0.0,10.0,148.0,0.0,-100.0,1537,602,935,39.17,100.0,0.671,-5.474,3289,0.02,-99.98,0.0,-100.0,0.0,-28.04
BTC-USDT-SWAP,reversal,4H,0.002,0.03,0.01,1,0.0,10.0,148.0,0.0,-100.0,1537,561,976,36.5,100.0,0.672,-5.474,3289,0.08,-99.95,0.0,-100.0,0.0,-26.32
BTC-USDT-SWAP,reversal,4H,0.002,0.03,0.015,1,0.0,10.0,148.0,0.0,-100.0,1537,586,951,38.13,100.0,0.682,-5.474,3289,0.05,-99.97,0.0,-100.0,0.0,-30.52
BTC-USDT-SWAP,reversal,4H,0.002,0.03,0.02,1,0.0,10.0,148.0,0.0,-100.0,1537,594,943,38.65,100.0,0.686,-5.474,3289,0.07,-99.95,0.0,-100.0,0.0,-28.04
BTC-USDT-SWAP,reversal,4H,0.002,0.03,0.025,1,0.0,10.0,148.0,0.0,-100.0,1537,596,941,38.78,100.0,0.677,-5.474,3289,0.03,-99.98,0.0,-100.0,0.0,-28.04
BTC-USDT-SWAP,reversal,4H,0.002,0.03,0.03,1,0.0,10.0,148.0,0.0,-100.0,1537,598,939,38.91,100.0,0.672,-5.474,3289,0.04,-99.97,0.0,-100.0,0.0,-28.04
BTC-USDT-SWAP,reversal,4H,0.003,0.006,0.01,1,0.0,10.0,148.0,0.21,-99.86,1297,777,520,59.91,99.92,0.935,-5.467,3289,84.66,-42.8,0.25,-99.71,0.21,-13.9
BTC-USDT-SWAP,reversal,4H,0.003,0.006,0.015,1,0.0,10.0,148.0,0.53,-99.64,1297,800,497,61.68,99.97,0.982,-5.455,3289,245.91,66.16,0.66,-99.73,0.53,-18.81
BTC-USDT-SWAP,reversal,4H,0.003,0.006,0.02,1,0.0,10.0,148.0,1.59,-98.92,1297,809,488,62.37,99.96,0.992,-5.416,3289,515.05,248.01,1.87,-99.64,1.59,-14.92
BTC-USDT-SWAP,reversal,4H,0.003,0.006,0.025,1,0.0,10.0,148.0,2.21,-98.5,1297,812,485,62.61,99.93,0.99,-5.393,3289,419.99,183.78,2.6,-99.38,2.21,-14.92
BTC-USDT-SWAP,reversal,4H,0.003,0.006,0.03,1,0.0,10.0,148.0,1.73,-98.83,1297,813,484,62.68,99.95,0.991,-5.41,3289,552.07,273.02,2.03,-99.63,1.73,-14.92
BTC-USDT-SWAP,reversal,4H,0.003,0.008,0.01,1,0.0,10.0,148.0,0.0,-100.0,1297,653,644,50.35,100.0,0.905,-5.474,3289,56.49,-61.83,0.0,-100.0,0.0,-9.09
BTC-USDT-SWAP,reversal,4H,0.003,0.008,0.015,1,0.0,10.0,148.0,0.0,-100.0,1297,672,625,51.81,100.0,0.925,-5.474,3289,46.99,-68.25,0.0,-100.0,0.0,-14.27
BTC-USDT-SWAP,reversal,4H,0.003,0.008,0.02,1,0.0,10.0,148.0,0.0,-100.0,1297,679,618,52.35,100.0,0.943,-5.474,3289,99.75,-32.6,0.0,-100.0,0.0,-10.17
BTC-USDT-SWAP,reversal,4H,0.003,0.008,0.025,1,0.0,10.0,148.0,0.0,-100.0,1297,681,616,52.51,100.0,0.931,-5.474,3289,73.14,-50.58,0.0,-100.0,0.0,-10.17
BTC-USDT-SWAP,reversal,4H,0.003,0.008,0.03,1,0.0,10.0,148.0,0.0,-100.0,1297,683,614,52.66,100.0,0.95,-5.474,3289,153.1,3.45,0.0,-100.0,0.0,-10.17
BTC-USDT-SWAP,reversal,4H,0.003,0.01,0.01,1,0.0,10.0,148.0,0.0,-100.0,1297,581,716,44.8,100.0,0.827,-5.474,3289,12.89,-91.29,0.0,-100.0,0.0,-12.76
BTC-USDT-SWAP,reversal,4H,0.003,0.01,0.015,1,0.0,10.0,148.0,0.0,-100.0,1297,600,697,46.26,100.0,0.851,-5.474,3289,9.04,-93.89,0.0,-100.0,0.0,-17.73
BTC-USDT-SWAP,reversal,4H,0.003,0.01,0.02,1,0.0,10.0,148.0,0.0,-100.0,1297,606,691,46.72,100.0,0.829,-5.474,3289,10.69,-92.78,0.0,-100.0,0.0,-13.79
BTC-USDT-SWAP,reversal,4H,0.003,0.01,0.025,1,0.0,10.0,148.0,0.0,-100.0,1297,607,690,46.8,100.0,0.806,-5.474,3289,6.92,-95.32,0.0,-100.0,0.0,-13.79
BTC-USDT-SWAP,reversal,4H,0.003,0.01,0.03,1,0.0,10.0,148.0,0.0,-100.0,1297,609,688,46.95,100.0,0.83,-5.474,3289,14.64,-90.11,0.0,-100.0,0.0,-13.79
BTC-USDT-SWAP,reversal,4H,0.003,0.015,0.01,1,0.0,10.0,148.0,0.0,-100.0,1297,506,791,39.01,100.0,0.767,-5.474,3289,1.78,-98.8,0.0,-100.0,0.0,-25.34
BTC-USDT-SWAP,reversal,4H,0.003,0.015,0.015,1,0.0,10.0,148.0,0.0,-100.0,1297,529,768,40.79,100.0,0.783,-5.474,3289,0.84,-99.43,0.0,-100.0,0.0,-29.6
BTC-USDT-SWAP,reversal,4H,0.003,0.015,0.02,1,0.0,10.0,148.0,0.0,-100.0,1297,535,762,41.25,100.0,0.744,-5.474,3289,0.66,-99.55,0.0,-100.0,0.0,-26.22
BTC-USDT-SWAP,reversal,4H,0.003,0.015,0.025,1,0.0,10.0,148.0,0.0,-100.0,1297,536,761,41.33,100.0,0.729,-5.474,3289,0.31,-99.79,0.0,-100.0,0.0,-26.22
